Feature,Importance,Rank,Cumulative
road_condition_score,0.30391988224622596,1,0.30391988224622596
traffic_score,0.20433361874334177,2,0.5082535009895677
road_gradient,0.18177596464882875,3,0.6900294656383964
weather_score,0.14328824652819128,4,0.8333177121665877
loc_Front Vatikan,0.04528592211400826,5,0.878603634280596
loc_Front Zambia,0.04210816476688869,6,0.9207117990474847
loc_Front Wales,0.037423078674570426,7,0.9581348777220551
loc_Front Kasovo,0.019795144800161483,8,0.9779300225222166
truck_id,0.00842964531914208,9,0.9863596678413586
hauling_distance,0.0069087864361908015,10,0.9932684542775494
truck_speed,0.005629443348641039,11,0.9988978976261904
shift,0.0011021023738095352,12,1.0
