road_condition_score,traffic_score,weather_score,road_gradient,hauling_distance,truck_speed,shift,truck_id,loc_Front Kasovo,loc_Front Vatikan,loc_Front Wales,loc_Front Zambia
2.9,3.04,3.59,-0.41,5.52,31.92,1,9,False,False,False,True
3.58,2.6,4.14,0.0,5.72,28.4,1,19,False,True,False,False
3.07,2.91,3.5,-0.01,3.81,19.13,0,16,False,False,True,False
3.58,2.6,4.14,0.0,6.59,25.46,1,1,False,True,False,False
3.58,2.6,4.14,0.0,7.45,30.93,0,5,False,True,False,False
3.07,2.91,3.5,-0.01,8.25,34.27,0,18,False,False,True,False
2.9,3.04,3.59,-0.41,10.06,39.89,0,18,False,False,False,True
3.07,2.91,3.5,-0.01,4.15,26.5,0,11,False,False,True,False
3.58,2.6,4.14,0.0,6.85,28.9,0,17,False,True,False,False
3.34,2.7,3.83,-0.02,4.33,22.47,1,16,True,False,False,False
3.34,2.7,3.83,-0.02,6.06,26.54,1,4,True,False,False,False
3.27,2.88,3.74,0.25,8.69,31.28,1,8,False,False,False,False
2.9,3.04,3.59,-0.41,6.96,33.59,0,5,False,False,False,True
3.27,2.88,3.74,0.25,8.15,30.13,1,10,False,False,False,False
3.07,2.91,3.5,-0.01,5.72,28.17,0,0,False,False,True,False
3.27,2.88,3.74,0.25,5.5,26.89,0,4,False,False,False,False
3.58,2.6,4.14,0.0,5.81,29.46,1,17,False,True,False,False
3.27,2.88,3.74,0.25,5.95,25.97,1,9,False,False,False,False
2.9,3.04,3.59,-0.41,3.14,24.92,0,16,False,False,False,True
3.34,2.7,3.83,-0.02,7.06,29.74,1,7,True,False,False,False
2.9,3.04,3.59,-0.41,5.41,29.42,0,0,False,False,False,True
3.34,2.7,3.83,-0.02,5.01,26.65,1,0,True,False,False,False
2.9,3.04,3.59,-0.41,6.01,29.33,0,7,False,False,False,True
2.9,3.04,3.59,-0.41,4.35,23.19,0,16,False,False,False,True
2.9,3.04,3.59,-0.41,5.18,24.65,0,0,False,False,False,True
2.9,3.04,3.59,-0.41,7.9,30.01,0,13,False,False,False,True
3.07,2.91,3.5,-0.01,5.11,28.17,0,12,False,False,True,False
3.07,2.91,3.5,-0.01,4.69,24.92,1,2,False,False,True,False
3.07,2.91,3.5,-0.01,6.38,29.08,0,12,False,False,True,False
2.9,3.04,3.59,-0.41,8.28,29.39,1,13,False,False,False,True
3.07,2.91,3.5,-0.01,6.41,31.52,0,1,False,False,True,False
3.07,2.91,3.5,-0.01,7.74,29.4,1,10,False,False,True,False
3.58,2.6,4.14,0.0,5.14,25.48,1,6,False,True,False,False
3.34,2.7,3.83,-0.02,8.42,27.92,0,5,True,False,False,False
3.07,2.91,3.5,-0.01,7.6,34.47,0,3,False,False,True,False
3.58,2.6,4.14,0.0,8.45,28.52,1,5,False,True,False,False
3.27,2.88,3.74,0.25,5.22,27.34,1,9,False,False,False,False
3.27,2.88,3.74,0.25,5.8,26.31,0,12,False,False,False,False
3.27,2.88,3.74,0.25,10.12,31.01,0,18,False,False,False,False
3.34,2.7,3.83,-0.02,7.18,29.2,1,5,True,False,False,False
3.27,2.88,3.74,0.25,4.46,25.01,1,2,False,False,False,False
3.27,2.88,3.74,0.25,5.7,25.57,0,17,False,False,False,False
3.07,2.91,3.5,-0.01,8.06,32.31,0,13,False,False,True,False
3.07,2.91,3.5,-0.01,7.9,30.01,0,13,False,False,True,False
3.34,2.7,3.83,-0.02,7.31,37.16,0,18,True,False,False,False
3.34,2.7,3.83,-0.02,4.97,31.93,1,9,True,False,False,False
3.27,2.88,3.74,0.25,8.0,34.01,1,13,False,False,False,False
2.9,3.04,3.59,-0.41,6.12,25.54,1,14,False,False,False,True
2.9,3.04,3.59,-0.41,8.87,32.58,0,10,False,False,False,True
2.9,3.04,3.59,-0.41,6.03,31.51,0,10,False,False,False,True
3.27,2.88,3.74,0.25,5.17,27.31,0,14,False,False,False,False
3.34,2.7,3.83,-0.02,4.72,27.65,0,14,True,False,False,False
3.07,2.91,3.5,-0.01,5.58,30.07,0,5,False,False,True,False
2.9,3.04,3.59,-0.41,3.85,23.69,1,6,False,False,False,True
3.34,2.7,3.83,-0.02,7.13,29.12,1,5,True,False,False,False
3.58,2.6,4.14,0.0,7.72,34.52,1,15,False,True,False,False
3.58,2.6,4.14,0.0,6.05,25.85,0,4,False,True,False,False
3.34,2.7,3.83,-0.02,7.88,34.75,0,10,True,False,False,False
3.07,2.91,3.5,-0.01,9.84,34.01,1,18,False,False,True,False
3.07,2.91,3.5,-0.01,6.86,37.34,0,3,False,False,True,False
3.34,2.7,3.83,-0.02,5.47,26.46,1,4,True,False,False,False
3.07,2.91,3.5,-0.01,4.91,24.61,1,6,False,False,True,False
3.58,2.6,4.14,0.0,5.82,25.43,1,4,False,True,False,False
3.07,2.91,3.5,-0.01,8.31,33.67,0,18,False,False,True,False
2.9,3.04,3.59,-0.41,9.74,28.49,0,13,False,False,False,True
3.34,2.7,3.83,-0.02,9.05,32.75,0,5,True,False,False,False
3.58,2.6,4.14,0.0,6.47,24.73,1,9,False,True,False,False
3.07,2.91,3.5,-0.01,5.86,30.5,1,7,False,False,True,False
3.27,2.88,3.74,0.25,8.98,28.03,1,5,False,False,False,False
3.07,2.91,3.5,-0.01,7.77,31.59,1,5,False,False,True,False
3.27,2.88,3.74,0.25,3.83,25.89,1,11,False,False,False,False
3.34,2.7,3.83,-0.02,5.47,27.47,0,17,True,False,False,False
3.27,2.88,3.74,0.25,5.05,30.11,0,0,False,False,False,False
2.9,3.04,3.59,-0.41,6.93,36.99,1,10,False,False,False,True
3.27,2.88,3.74,0.25,4.98,26.62,1,6,False,False,False,False
3.07,2.91,3.5,-0.01,6.31,30.72,1,17,False,False,True,False
3.27,2.88,3.74,0.25,4.96,29.4,1,9,False,False,False,False
3.58,2.6,4.14,0.0,5.3,29.37,1,0,False,True,False,False
2.9,3.04,3.59,-0.41,5.6,28.57,1,17,False,False,False,True
3.27,2.88,3.74,0.25,9.49,27.97,0,5,False,False,False,False
3.27,2.88,3.74,0.25,7.86,25.01,1,1,False,False,False,False
3.58,2.6,4.14,0.0,6.78,26.15,0,3,False,True,False,False
3.58,2.6,4.14,0.0,4.65,26.03,1,2,False,True,False,False
3.58,2.6,4.14,0.0,7.53,31.33,0,3,False,True,False,False
3.34,2.7,3.83,-0.02,8.33,36.62,0,8,True,False,False,False
3.58,2.6,4.14,0.0,5.45,30.72,0,0,False,True,False,False
2.9,3.04,3.59,-0.41,4.97,27.16,0,4,False,False,False,True
2.9,3.04,3.59,-0.41,7.4,33.49,1,1,False,False,False,True
2.9,3.04,3.59,-0.41,5.08,26.13,1,19,False,False,False,True
3.27,2.88,3.74,0.25,4.83,26.81,0,6,False,False,False,False
3.34,2.7,3.83,-0.02,6.8,31.0,0,15,True,False,False,False
2.9,3.04,3.59,-0.41,5.9,29.08,1,12,False,False,False,True
3.27,2.88,3.74,0.25,5.85,28.6,0,9,False,False,False,False
3.07,2.91,3.5,-0.01,4.22,26.21,1,19,False,False,True,False
3.58,2.6,4.14,0.0,4.62,24.91,1,2,False,True,False,False
2.9,3.04,3.59,-0.41,5.05,25.8,0,4,False,False,False,True
3.27,2.88,3.74,0.25,6.75,31.12,1,3,False,False,False,False
3.34,2.7,3.83,-0.02,5.43,30.9,1,17,True,False,False,False
3.58,2.6,4.14,0.0,6.32,27.35,1,17,False,True,False,False
2.9,3.04,3.59,-0.41,8.91,33.95,0,8,False,False,False,True
3.34,2.7,3.83,-0.02,5.66,30.39,0,1,True,False,False,False
3.27,2.88,3.74,0.25,7.38,30.74,1,10,False,False,False,False
3.07,2.91,3.5,-0.01,8.86,27.95,1,13,False,False,True,False
2.9,3.04,3.59,-0.41,5.26,29.53,1,14,False,False,False,True
3.27,2.88,3.74,0.25,8.07,29.72,0,15,False,False,False,False
3.27,2.88,3.74,0.25,9.91,35.8,0,18,False,False,False,False
3.34,2.7,3.83,-0.02,4.34,25.44,0,2,True,False,False,False
3.34,2.7,3.83,-0.02,5.79,29.92,1,19,True,False,False,False
2.9,3.04,3.59,-0.41,5.08,26.13,0,19,False,False,False,True
3.07,2.91,3.5,-0.01,5.41,27.16,0,19,False,False,True,False
2.9,3.04,3.59,-0.41,5.29,21.96,0,14,False,False,False,True
3.34,2.7,3.83,-0.02,5.21,25.5,1,19,True,False,False,False
3.58,2.6,4.14,0.0,4.14,23.35,0,16,False,True,False,False
3.07,2.91,3.5,-0.01,6.62,30.16,1,1,False,False,True,False
3.27,2.88,3.74,0.25,6.63,31.73,0,12,False,False,False,False
3.07,2.91,3.5,-0.01,5.66,27.36,0,19,False,False,True,False
3.07,2.91,3.5,-0.01,6.3,22.87,1,7,False,False,True,False
3.34,2.7,3.83,-0.02,4.04,24.78,0,2,True,False,False,False
3.58,2.6,4.14,0.0,8.44,35.25,1,8,False,True,False,False
3.58,2.6,4.14,0.0,5.6,24.46,1,4,False,True,False,False
3.34,2.7,3.83,-0.02,5.4,26.68,1,6,True,False,False,False
2.9,3.04,3.59,-0.41,6.8,35.19,1,15,False,False,False,True
3.27,2.88,3.74,0.25,5.04,27.07,0,14,False,False,False,False
3.58,2.6,4.14,0.0,6.76,26.03,0,12,False,True,False,False
3.58,2.6,4.14,0.0,8.31,33.67,1,18,False,True,False,False
2.9,3.04,3.59,-0.41,5.15,33.23,0,9,False,False,False,True
2.9,3.04,3.59,-0.41,5.64,29.41,1,12,False,False,False,True
2.9,3.04,3.59,-0.41,4.69,24.89,1,2,False,False,False,True
3.07,2.91,3.5,-0.01,4.5,30.51,0,9,False,False,True,False
2.9,3.04,3.59,-0.41,5.49,28.99,0,9,False,False,False,True
3.34,2.7,3.83,-0.02,6.49,25.9,0,17,True,False,False,False
3.34,2.7,3.83,-0.02,8.19,27.57,0,15,True,False,False,False
3.27,2.88,3.74,0.25,5.39,28.36,1,17,False,False,False,False
2.9,3.04,3.59,-0.41,5.32,30.91,0,0,False,False,False,True
2.9,3.04,3.59,-0.41,7.96,32.04,0,10,False,False,False,True
3.07,2.91,3.5,-0.01,7.38,30.74,0,10,False,False,True,False
3.58,2.6,4.14,0.0,7.89,34.23,1,13,False,True,False,False
3.27,2.88,3.74,0.25,4.54,24.79,0,14,False,False,False,False
3.07,2.91,3.5,-0.01,5.58,28.7,0,9,False,False,True,False
3.07,2.91,3.5,-0.01,10.16,31.31,1,5,False,False,True,False
3.34,2.7,3.83,-0.02,4.51,27.89,1,14,True,False,False,False
3.34,2.7,3.83,-0.02,7.49,28.78,0,10,True,False,False,False
2.9,3.04,3.59,-0.41,4.59,25.72,1,2,False,False,False,True
2.9,3.04,3.59,-0.41,6.62,30.16,0,1,False,False,False,True
3.34,2.7,3.83,-0.02,7.33,33.98,0,3,True,False,False,False
3.07,2.91,3.5,-0.01,6.0,30.02,0,7,False,False,True,False
3.27,2.88,3.74,0.25,5.38,31.49,1,9,False,False,False,False
3.58,2.6,4.14,0.0,4.06,22.31,1,2,False,True,False,False
3.07,2.91,3.5,-0.01,5.45,21.58,1,14,False,False,True,False
2.9,3.04,3.59,-0.41,8.83,36.8,0,18,False,False,False,True
3.27,2.88,3.74,0.25,5.21,23.79,0,19,False,False,False,False
2.9,3.04,3.59,-0.41,9.52,32.13,0,13,False,False,False,True
3.58,2.6,4.14,0.0,6.48,24.2,0,4,False,True,False,False
3.27,2.88,3.74,0.25,7.88,34.75,0,5,False,False,False,False
3.27,2.88,3.74,0.25,7.27,32.99,1,3,False,False,False,False
3.34,2.7,3.83,-0.02,4.8,24.96,1,6,True,False,False,False
2.9,3.04,3.59,-0.41,8.32,27.28,0,5,False,False,False,True
3.58,2.6,4.14,0.0,7.78,28.49,1,1,False,True,False,False
3.34,2.7,3.83,-0.02,7.07,33.62,1,3,True,False,False,False
3.58,2.6,4.14,0.0,6.6,31.53,1,1,False,True,False,False
3.07,2.91,3.5,-0.01,10.33,31.95,1,18,False,False,True,False
3.58,2.6,4.14,0.0,5.43,31.66,0,19,False,True,False,False
2.9,3.04,3.59,-0.41,5.73,25.83,0,0,False,False,False,True
3.07,2.91,3.5,-0.01,6.51,25.7,1,1,False,False,True,False
3.34,2.7,3.83,-0.02,4.01,28.81,0,6,True,False,False,False
3.58,2.6,4.14,0.0,7.23,31.26,1,7,False,True,False,False
2.9,3.04,3.59,-0.41,8.69,33.52,0,8,False,False,False,True
3.07,2.91,3.5,-0.01,7.87,27.78,1,15,False,False,True,False
3.34,2.7,3.83,-0.02,5.88,31.93,1,5,True,False,False,False
3.58,2.6,4.14,0.0,4.18,24.99,0,16,False,True,False,False
2.9,3.04,3.59,-0.41,7.01,30.04,1,15,False,False,False,True
3.34,2.7,3.83,-0.02,7.71,34.43,1,5,True,False,False,False
3.34,2.7,3.83,-0.02,8.76,34.83,0,8,True,False,False,False
3.27,2.88,3.74,0.25,5.27,25.76,1,0,False,False,False,False
2.9,3.04,3.59,-0.41,5.34,28.3,1,9,False,False,False,True
3.58,2.6,4.14,0.0,8.18,41.44,0,8,False,True,False,False
